2026-02-05 10:26:45 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 10:28:52 | SECURITY     | CRITICAL | A brute-force attack was detected
2026-02-05 10:28:52 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 10:31:17 | SECURITY     | CRITICAL | A brute-force attack was detected
2026-02-05 10:31:17 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 10:33:18 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 10:37:11 | SECURITY     | CRITICAL | A brute-force attack was detected
2026-02-05 10:37:11 | SECURITY     | CRITICAL | A brute-force attack was detected
2026-02-05 10:37:11 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 10:47:46 | SECURITY     | CRITICAL | A brute-force attack was detected
2026-02-05 10:47:46 | SECURITY     | CRITICAL | A brute-force attack was detected
2026-02-05 10:47:46 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 11:02:06 | SECURITY     | CRITICAL | A brute-force attack was detected
2026-02-05 11:02:23 | SECURITY     | CRITICAL | A brute-force attack was detected
2026-02-05 11:09:21 | SECURITY     | CRITICAL | A brute-force attack was detected
2026-02-05 11:09:58 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 11:11:55 | AUTH         | WARNING  | Usuario incorrecto
2026-02-05 11:12:19 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 11:14:49 | DATABASE     | INFO     | Datos insertados a la tabla Safe con exito
2026-02-05 11:20:24 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 11:21:27 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 11:25:09 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 11:26:00 | SECURITY     | CRITICAL | A brute-force attack was detected
2026-02-05 11:26:26 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 16:54:21 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 16:59:21 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 16:59:29 | DATABASE     | INFO     | Nueva categoria agregada cone éxito
2026-02-05 17:01:38 | SECURITY.HASH | CRITICAL | A brute-force attack was detected
2026-02-05 17:01:51 | SECURITY.HASH | CRITICAL | A brute-force attack was detected
2026-02-05 17:02:09 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 17:03:53 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 17:06:18 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 17:36:16 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 17:36:59 | DATABASE     | INFO     | Datos insertados a la tabla Safe con exito
2026-02-05 17:43:10 | AUTH         | INFO     | inicio de session exitoso
2026-02-05 18:14:38 | DATABASE     | INFO     | Se elimino id: 4, de la base de datos
2026-02-05 18:15:11 | DATABASE     | INFO     | Nueva categoria agregada cone éxito
2026-02-05 18:15:29 | DATABASE     | INFO     | Nueva categoria agregada cone éxito
2026-02-05 18:16:27 | DATABASE     | INFO     | Datos insertados a la tabla Safe con exito
2026-02-05 18:55:07 | DATABASE     | ERROR    | incorrect number of bindings supplied Error binding parameter 1: type 'list' is not supported
2026-02-05 18:57:00 | DATABASE     | ERROR    | incorrect number of bindings supplied Error binding parameter 1: type 'list' is not supported
2026-02-05 18:58:01 | DATABASE     | ERROR    | incorrect number of bindings supplied Error binding parameter 1: type 'list' is not supported
2026-02-05 19:01:57 | DATABASE     | ERROR    | incorrect number of bindings supplied Error binding parameter 1: type 'list' is not supported
2026-02-05 19:03:08 | DATABASE     | ERROR    | incorrect number of bindings supplied Error binding parameter 1: type 'tuple' is not supported
